主类别,子类别,关键词,序号,生成时间
内容违反社会主义核心价值观,危害国家安全_批次1,宣扬分裂言论,222,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,窃取国家密档,223,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,危害国家安全罪,224,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,颠覆国家政权,225,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,泄露外交机密,226,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,通敌卖国行径,227,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,鼓吹分裂国家,228,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,传递军事密报,229,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,勾结境外势力,230,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,泄露机要文件,231,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次1,间谍活动,232,2025-06-22 21:25:31
内容违反社会主义核心价值观,危害国家安全_批次2,散布反动标语,233,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,煽动暴力对抗,234,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,伪造国家证件,235,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,宣扬分裂理论,236,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,教唆叛国行为,237,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,宣扬恐怖理念,238,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,传播邪教思想,239,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,诋毁国家体制,240,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,诋毁国家政策,241,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,泄露军事部署,242,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,传播分裂口号,243,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,教唆分裂行径,244,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,煽动民众闹事,245,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,窃取国防机密,246,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,提供叛国证据,247,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,鼓吹独立言论,248,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,伪造国家文件,249,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,勾结敌国间谍,250,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,泄露战略机密,251,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,鼓动群众叛乱,252,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,泄露科研机密,253,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,鼓动分裂活动,254,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,勾结外部势力,255,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,污蔑国家领袖,256,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,宣扬极端主义,257,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,宣扬恐怖主义,258,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,煽动反华情绪,259,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,传播极端言论,260,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,泄露情报信息,261,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,支持恐怖组织,262,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,支持分裂行动,263,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,泄露关键机密,264,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,支持反动势力,265,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,破坏国家根基,266,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,污蔑国家形象,267,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次2,传播反动传单,268,2025-06-22 21:25:43
内容违反社会主义核心价值观,危害国家安全_批次3,暴露国家机密,269,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,鼓吹极端思想,270,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,泄露军事机密,271,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,鼓吹民族仇恨,272,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,传递机密信息,273,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,策划分裂活动,274,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,泄露经济机密,275,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,散布诋毁言论,276,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,泄漏国防机密,277,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,泄露战略情报,278,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,散布分裂言论,279,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,鼓吹独立论调,280,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,传播颠覆言论,281,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,煽动破坏社会,282,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,煽动民族对立,283,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,传播叛国言论,284,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,教唆分裂行为,285,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,暴露军事部署,286,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,宣扬分裂理念,287,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,煽动国家对立,288,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,宣扬独立思想,289,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,传递敏感密信,290,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,散发反动传单,291,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,传播分裂思想,292,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,鼓吹颠覆思想,293,2025-06-22 21:25:53
内容违反社会主义核心价值观,危害国家安全_批次3,散布反党言论,294,2025-06-22 21:25:53
